evento_id,session_id,cliente_id,evento,pagina,dispositivo,data_evento
37,session_5017,,page_view,/home,mobile,2024-12-24 09:00:00
38,session_9106,,view_item,/carrinho,mobile,2024-02-12 22:00:00
39,session_3557,17,page_view,/home,desktop,2025-01-22 15:00:00
40,session_9235,,add_to_cart,/checkout,mobile,2024-09-25 09:00:00
41,session_9619,,page_view,/home,tablet,2024-10-30 14:00:00
42,session_3135,,page_view,/produto,mobile,2025-01-05 04:00:00
43,session_442,,begin_checkout,/home,desktop,2024-03-26 21:00:00
44,session_725,,view_item,/carrinho,desktop,2024-05-31 05:00:00
45,session_8219,510,purchase,/checkout,mobile,2024-08-21 01:00:00
46,session_9688,,add_to_cart,/carrinho,mobile,2024-01-19 19:00:00
47,session_275,428,add_to_cart,/checkout,mobile,2024-03-11 14:00:00
48,session_98,,page_view,/home,mobile,2024-10-11 07:00:00
49,session_3904,,add_to_cart,/carrinho,mobile,2024-03-07 14:00:00
50,session_15,,begin_checkout,/home,mobile,2024-08-04 00:00:00
51,session_2990,345,view_item,/categoria,desktop,2024-10-10 11:00:00
52,session_4619,285,purchase,/carrinho,mobile,2024-06-30 17:00:00
53,session_9060,,view_item,/produto,mobile,2024-12-09 21:00:00
54,session_7569,24,purchase,/produto,mobile,2024-10-28 01:00:00
55,session_3578,103,page_view,/carrinho,tablet,2024-12-01 21:00:00
56,session_7261,366,add_to_cart,/categoria,desktop,2024-10-28 06:00:00
57,session_4115,29,page_view,/carrinho,desktop,2024-03-20 16:00:00
58,session_4940,110,add_to_cart,/categoria,desktop,2025-01-16 07:00:00
59,session_5848,100,page_view,/categoria,mobile,2024-11-16 01:00:00
60,session_6389,333,page_view,/carrinho,mobile,2024-12-23 08:00:00
61,session_439,,add_to_cart,/carrinho,desktop,2024-05-27 05:00:00
62,session_3842,,begin_checkout,/home,desktop,2024-05-07 04:00:00
63,session_9847,,add_to_cart,/produto,desktop,2024-02-24 04:00:00
64,session_2765,,add_to_cart,/produto,mobile,2024-07-24 12:00:00
65,session_8115,105,add_to_cart,/carrinho,desktop,2024-08-11 11:00:00
66,session_324,239,page_view,/home,mobile,2024-11-10 11:00:00
67,session_3164,,view_item,/checkout,desktop,2024-10-20 17:00:00
68,session_7680,,page_view,/home,mobile,2024-11-27 13:00:00
69,session_3047,,view_item,/home,desktop,2024-04-20 15:00:00
70,session_9458,,add_to_cart,/produto,desktop,2024-04-16 21:00:00
71,session_5274,,add_to_cart,/home,desktop,2024-03-13 20:00:00
72,session_5510,,view_item,/home,mobile,2024-07-08 14:00:00
73,session_1810,480,add_to_cart,/categoria,desktop,2024-09-10 21:00:00
74,session_1924,150,page_view,/categoria,desktop,2024-01-06 19:00:00
75,session_2924,,page_view,/checkout,mobile,2024-01-13 00:00:00
76,session_6300,239,add_to_cart,/home,mobile,2024-11-28 06:00:00
77,session_8722,248,page_view,/carrinho,mobile,2024-06-21 12:00:00
78,session_741,,page_view,/home,mobile,2024-02-19 10:00:00
79,session_6950,521,page_view,/categoria,tablet,2024-03-12 10:00:00
80,session_8309,236,purchase,/produto,desktop,2024-09-20 01:00:00
81,session_8321,,add_to_cart,/checkout,desktop,2024-03-09 21:00:00
82,session_8857,,view_item,/checkout,mobile,2024-08-17 06:00:00
83,session_9924,509,add_to_cart,/produto,mobile,2024-10-03 00:00:00
84,session_6414,171,add_to_cart,/home,desktop,2024-07-09 05:00:00
85,session_401,27,page_view,/checkout,desktop,2024-07-16 11:00:00
86,session_5598,109,add_to_cart,/home,mobile,2024-09-20 09:00:00
87,session_5669,,page_view,/carrinho,mobile,2024-08-04 10:00:00
88,session_113,,page_view,/produto,desktop,2024-12-21 05:00:00
89,session_2325,60,page_view,/home,mobile,2024-02-19 16:00:00
90,session_989,16,add_to_cart,/carrinho,mobile,2024-11-28 05:00:00
91,session_2770,,page_view,/categoria,mobile,2024-05-17 08:00:00
92,session_6724,,purchase,/carrinho,mobile,2024-04-08 02:00:00
93,session_6106,,page_view,/carrinho,mobile,2024-04-11 02:00:00
94,session_6353,,page_view,/checkout,mobile,2024-06-06 03:00:00
95,session_2467,197,page_view,/home,mobile,2024-08-03 20:00:00
96,session_4672,,add_to_cart,/carrinho,desktop,2024-01-09 06:00:00
97,session_8302,322,purchase,/home,desktop,2024-03-11 23:00:00
98,session_7899,,add_to_cart,/checkout,mobile,2024-08-14 15:00:00
99,session_5016,,page_view,/checkout,mobile,2025-01-03 17:00:00
100,session_3454,,page_view,/carrinho,desktop,2024-01-12 07:00:00
101,session_5629,,page_view,/produto,mobile,2024-02-09 10:00:00
102,session_2224,425,page_view,/categoria,mobile,2024-03-24 16:00:00
103,session_2747,15,begin_checkout,/categoria,desktop,2024-04-19 21:00:00
104,session_3668,,purchase,/home,mobile,2024-09-07 23:00:00
105,session_6297,123,view_item,/carrinho,desktop,2024-02-18 10:00:00
106,session_176,92,page_view,/home,mobile,2024-11-25 00:00:00
107,session_3949,,add_to_cart,/produto,mobile,2024-02-05 19:00:00
108,session_646,,page_view,/home,mobile,2024-12-19 14:00:00
109,session_9155,110,add_to_cart,/categoria,mobile,2024-12-07 07:00:00
110,session_9933,460,page_view,/checkout,mobile,2024-10-20 20:00:00
111,session_4804,497,purchase,/carrinho,mobile,2024-10-20 21:00:00
112,session_8845,79,begin_checkout,/checkout,mobile,2024-08-03 13:00:00
113,session_4545,423,view_item,/produto,desktop,2025-01-09 21:00:00
114,session_4741,,page_view,/categoria,mobile,2024-07-08 05:00:00
115,session_4865,289,page_view,/checkout,desktop,2024-12-24 01:00:00
116,session_3754,469,purchase,/produto,desktop,2024-02-05 09:00:00
117,session_5232,,add_to_cart,/home,desktop,2024-11-22 14:00:00
118,session_1845,,add_to_cart,/checkout,mobile,2024-09-06 02:00:00
119,session_9513,,begin_checkout,/home,desktop,2024-03-20 09:00:00
120,session_3691,27,page_view,/carrinho,mobile,2024-01-23 10:00:00
121,session_8774,,begin_checkout,/home,mobile,2024-09-04 18:00:00
122,session_243,449,add_to_cart,/carrinho,mobile,2024-07-18 17:00:00
123,session_362,,begin_checkout,/home,mobile,2024-11-21 07:00:00
124,session_2143,,page_view,/checkout,tablet,2024-01-04 08:00:00
125,session_4619,49,add_to_cart,/produto,mobile,2025-01-28 01:00:00
126,session_3019,321,page_view,/home,mobile,2025-02-03 00:00:00
127,session_2410,,page_view,/home,mobile,2024-09-29 21:00:00
128,session_7502,193,page_view,/home,tablet,2024-04-26 08:00:00
129,session_8921,,page_view,/checkout,desktop,2024-03-31 13:00:00
130,session_9894,,page_view,/produto,mobile,2024-03-24 15:00:00
131,session_7602,,add_to_cart,/produto,mobile,2024-01-19 18:00:00
132,session_5128,,page_view,/categoria,mobile,2024-03-25 12:00:00
133,session_9920,,page_view,/checkout,desktop,2024-09-27 05:00:00
134,session_9517,,add_to_cart,/checkout,mobile,2024-12-06 14:00:00
135,session_2772,,page_view,/categoria,mobile,2024-01-15 18:00:00
136,session_4766,59,page_view,/categoria,desktop,2024-12-28 04:00:00
137,session_6942,,page_view,/produto,desktop,2024-07-29 09:00:00
138,session_1126,,page_view,/home,mobile,2024-06-17 15:00:00
139,session_4567,,begin_checkout,/categoria,mobile,2024-12-26 18:00:00
140,session_4143,,add_to_cart,/home,desktop,2024-11-05 01:00:00
141,session_8533,,page_view,/checkout,mobile,2024-12-25 05:00:00
142,session_8254,150,purchase,/checkout,mobile,2024-11-05 01:00:00
143,session_2072,95,page_view,/home,mobile,2024-12-21 18:00:00
144,session_9279,,begin_checkout,/home,mobile,2024-10-03 14:00:00
145,session_12,,page_view,/checkout,mobile,2024-05-08 11:00:00
146,session_2154,173,add_to_cart,/home,mobile,2024-05-25 14:00:00
147,session_7619,,add_to_cart,/categoria,desktop,2025-01-18 10:00:00
148,session_8282,,page_view,/carrinho,mobile,2024-02-26 21:00:00
149,session_9032,,begin_checkout,/carrinho,mobile,2024-04-01 03:00:00
150,session_1398,,add_to_cart,/produto,mobile,2024-05-08 21:00:00
151,session_852,,page_view,/home,desktop,2024-08-15 12:00:00
152,session_4172,520,begin_checkout,/categoria,tablet,2024-09-19 21:00:00
153,session_4829,,add_to_cart,/home,mobile,2024-10-14 19:00:00
154,session_8681,82,add_to_cart,/produto,mobile,2024-12-27 09:00:00
155,session_1298,131,page_view,/categoria,desktop,2024-03-12 14:00:00
156,session_6305,,add_to_cart,/checkout,mobile,2025-01-01 11:00:00
157,session_5105,,add_to_cart,/checkout,desktop,2024-05-25 16:00:00
158,session_6852,381,purchase,/carrinho,mobile,2024-04-06 13:00:00
159,session_1935,56,view_item,/categoria,tablet,2024-12-05 16:00:00
160,session_9996,,page_view,/checkout,desktop,2024-04-09 17:00:00
161,session_8401,359,purchase,/home,mobile,2024-02-24 01:00:00
162,session_8447,,page_view,/categoria,mobile,2024-07-25 19:00:00
163,session_1406,,begin_checkout,/checkout,desktop,2024-04-25 13:00:00
164,session_5772,299,begin_checkout,/produto,desktop,2024-10-26 09:00:00
165,session_27,46,page_view,/carrinho,mobile,2024-11-08 01:00:00
166,session_3098,,add_to_cart,/home,mobile,2024-06-02 04:00:00
167,session_1792,,add_to_cart,/home,desktop,2024-01-01 21:00:00
168,session_6213,,purchase,/categoria,desktop,2024-11-12 23:00:00
169,session_9908,357,purchase,/categoria,mobile,2024-11-02 23:00:00
170,session_3965,167,page_view,/home,mobile,2024-04-03 07:00:00
171,session_3911,,add_to_cart,/checkout,mobile,2024-06-09 03:00:00
172,session_4816,295,begin_checkout,/produto,mobile,2024-12-15 18:00:00
173,session_999,309,purchase,/categoria,mobile,2024-09-17 23:00:00
174,session_5889,,page_view,/carrinho,mobile,2024-09-11 13:00:00
175,session_6030,370,add_to_cart,/produto,mobile,2024-06-26 05:00:00
176,session_2198,154,add_to_cart,/produto,mobile,2024-03-14 16:00:00
177,session_8869,338,page_view,/carrinho,desktop,2024-02-19 20:00:00
178,session_4295,500,add_to_cart,/categoria,mobile,2024-10-21 05:00:00
179,session_7546,,begin_checkout,/home,tablet,2024-10-27 11:00:00
180,session_4568,410,page_view,/home,mobile,2024-08-15 05:00:00
181,session_5343,,add_to_cart,/produto,desktop,2024-04-17 10:00:00
182,session_9561,144,purchase,/produto,desktop,2024-10-30 19:00:00
183,session_926,84,add_to_cart,/produto,mobile,2024-03-01 13:00:00
184,session_4258,,begin_checkout,/produto,desktop,2024-03-23 15:00:00
185,session_7098,,begin_checkout,/carrinho,mobile,2024-09-20 21:00:00
186,session_6191,234,begin_checkout,/categoria,mobile,2024-12-13 04:00:00
187,session_5040,,add_to_cart,/home,mobile,2024-05-29 17:00:00
188,session_7888,115,begin_checkout,/home,mobile,2024-12-19 05:00:00
189,session_9296,187,page_view,/carrinho,mobile,2024-09-19 15:00:00
190,session_8847,,add_to_cart,/checkout,mobile,2024-04-27 07:00:00
191,session_2504,,purchase,/home,mobile,2024-04-29 06:00:00
192,session_9746,449,purchase,/carrinho,mobile,2024-09-21 04:00:00
193,session_666,,add_to_cart,/produto,mobile,2024-03-28 03:00:00
194,session_9492,,purchase,/home,desktop,2025-02-04 11:00:00
195,session_4560,185,page_view,/checkout,desktop,2024-02-17 17:00:00
196,session_3643,,purchase,/carrinho,mobile,2024-04-05 06:00:00
197,session_8676,,page_view,/carrinho,tablet,2024-04-04 18:00:00
198,session_9161,,page_view,/home,mobile,2024-04-11 07:00:00
199,session_6885,,page_view,/produto,mobile,2025-01-15 04:00:00
200,session_508,,begin_checkout,/categoria,mobile,2024-03-31 11:00:00
201,session_1876,,begin_checkout,/home,mobile,2024-08-22 14:00:00
202,session_7713,,add_to_cart,/home,mobile,2024-06-12 10:00:00
203,session_2206,,purchase,/checkout,desktop,2024-10-22 05:00:00
204,session_8465,,purchase,/categoria,mobile,2024-08-23 13:00:00
205,session_9474,,page_view,/produto,mobile,2024-10-01 22:00:00
206,session_9097,486,page_view,/carrinho,mobile,2024-09-30 18:00:00
207,session_1946,,view_item,/carrinho,mobile,2024-06-14 10:00:00
208,session_4335,,add_to_cart,/carrinho,mobile,2024-03-06 20:00:00
209,session_5533,,page_view,/home,desktop,2024-08-05 03:00:00
210,session_5271,98,view_item,/checkout,desktop,2024-07-04 01:00:00
211,session_2148,,add_to_cart,/categoria,mobile,2025-01-06 23:00:00
212,session_3358,,page_view,/categoria,mobile,2024-06-17 21:00:00
213,session_9280,530,page_view,/home,desktop,2024-06-24 19:00:00
214,session_6077,305,add_to_cart,/produto,desktop,2024-10-29 15:00:00
215,session_8298,,add_to_cart,/produto,desktop,2024-11-02 21:00:00
216,session_1545,19,page_view,/categoria,mobile,2024-04-11 04:00:00
217,session_3609,,add_to_cart,/categoria,mobile,2024-04-25 06:00:00
218,session_4131,17,add_to_cart,/home,mobile,2025-01-13 17:00:00
219,session_217,,begin_checkout,/categoria,desktop,2024-10-07 12:00:00
220,session_1599,,page_view,/checkout,mobile,2024-10-04 18:00:00
221,session_5179,,view_item,/produto,mobile,2024-11-22 10:00:00
222,session_5020,,page_view,/checkout,desktop,2024-10-05 01:00:00
223,session_5250,4,purchase,/home,mobile,2024-11-20 17:00:00
224,session_6515,,begin_checkout,/carrinho,mobile,2024-09-20 01:00:00
225,session_93,,purchase,/home,mobile,2024-12-08 15:00:00
226,session_2412,,page_view,/home,mobile,2024-12-05 14:00:00
227,session_8672,,purchase,/carrinho,mobile,2024-01-01 07:00:00
228,session_7675,,page_view,/categoria,mobile,2024-08-16 06:00:00
229,session_6632,,add_to_cart,/carrinho,mobile,2024-08-25 00:00:00
230,session_3015,87,purchase,/categoria,mobile,2024-01-19 01:00:00
231,session_5457,,view_item,/produto,mobile,2024-02-12 18:00:00
232,session_3625,,add_to_cart,/checkout,desktop,2024-10-20 13:00:00
233,session_1215,,add_to_cart,/produto,desktop,2024-03-16 19:00:00
234,session_44,178,page_view,/produto,mobile,2024-06-02 00:00:00
235,session_5264,311,page_view,/produto,desktop,2024-07-07 00:00:00
236,session_7645,,add_to_cart,/produto,desktop,2024-01-24 13:00:00
237,session_3060,,page_view,/produto,mobile,2024-11-19 01:00:00
238,session_3337,25,add_to_cart,/carrinho,mobile,2024-01-15 00:00:00
239,session_1659,,begin_checkout,/produto,desktop,2024-11-12 05:00:00
240,session_7369,,page_view,/produto,mobile,2024-09-27 11:00:00
241,session_7299,,page_view,/home,desktop,2024-03-04 10:00:00
242,session_6532,,add_to_cart,/home,mobile,2024-02-21 03:00:00
243,session_2895,,add_to_cart,/home,desktop,2025-01-11 21:00:00
244,session_5774,,page_view,/produto,desktop,2024-07-28 21:00:00
245,session_4678,284,page_view,/produto,mobile,2024-06-20 05:00:00
246,session_4380,221,add_to_cart,/carrinho,desktop,2025-01-18 20:00:00
247,session_5166,12,page_view,/produto,desktop,2024-12-27 11:00:00
248,session_947,,purchase,/categoria,mobile,2024-09-08 09:00:00
249,session_6160,24,begin_checkout,/home,mobile,2024-12-26 23:00:00
250,session_4168,137,page_view,/checkout,mobile,2024-06-19 20:00:00
251,session_5946,366,begin_checkout,/home,tablet,2024-11-30 17:00:00
252,session_5094,353,add_to_cart,/carrinho,desktop,2025-01-26 06:00:00
253,session_2364,433,view_item,/carrinho,desktop,2024-11-01 23:00:00
254,session_9549,,page_view,/produto,tablet,2025-02-02 20:00:00
255,session_4972,230,begin_checkout,/categoria,mobile,2024-03-12 00:00:00
256,session_4799,,add_to_cart,/produto,mobile,2024-11-02 17:00:00
257,session_8818,318,page_view,/home,desktop,2025-01-06 15:00:00
258,session_662,,page_view,/checkout,mobile,2024-02-03 21:00:00
259,session_4144,244,page_view,/produto,mobile,2024-01-07 08:00:00
260,session_5703,241,add_to_cart,/carrinho,mobile,2024-04-21 17:00:00
261,session_4817,277,add_to_cart,/checkout,desktop,2024-08-09 20:00:00
262,session_6922,7,add_to_cart,/produto,desktop,2024-06-19 00:00:00
263,session_6742,,add_to_cart,/checkout,desktop,2024-05-31 21:00:00
264,session_7808,,view_item,/carrinho,mobile,2024-02-27 07:00:00
265,session_5020,,add_to_cart,/carrinho,mobile,2024-03-26 02:00:00
266,session_9061,358,page_view,/produto,mobile,2024-03-10 10:00:00
267,session_5686,149,purchase,/produto,desktop,2024-02-13 05:00:00
268,session_7980,,page_view,/produto,mobile,2024-07-02 05:00:00
269,session_6286,,view_item,/produto,mobile,2024-01-12 07:00:00
270,session_3757,97,add_to_cart,/home,mobile,2024-07-30 00:00:00
271,session_6825,,page_view,/categoria,desktop,2024-07-03 19:00:00
272,session_1008,,add_to_cart,/produto,desktop,2024-08-22 13:00:00
273,session_4632,,begin_checkout,/carrinho,mobile,2024-04-22 17:00:00
274,session_748,4,page_view,/produto,mobile,2024-12-20 13:00:00
275,session_9375,331,view_item,/home,mobile,2024-06-03 21:00:00
276,session_5549,,page_view,/home,mobile,2024-08-20 02:00:00
277,session_9502,4,purchase,/carrinho,mobile,2024-08-29 02:00:00
278,session_6464,107,begin_checkout,/carrinho,mobile,2024-03-11 20:00:00
279,session_7974,,page_view,/checkout,mobile,2024-11-05 14:00:00
280,session_3117,,begin_checkout,/produto,desktop,2024-10-20 10:00:00
281,session_5790,488,add_to_cart,/home,desktop,2024-05-20 01:00:00
282,session_251,279,purchase,/checkout,mobile,2024-08-09 02:00:00
283,session_8620,,add_to_cart,/produto,mobile,2025-01-25 08:00:00
284,session_1347,,add_to_cart,/carrinho,mobile,2024-06-01 07:00:00
285,session_9400,295,add_to_cart,/categoria,mobile,2024-10-28 04:00:00
286,session_3977,458,begin_checkout,/categoria,mobile,2024-12-23 00:00:00
287,session_3636,169,add_to_cart,/checkout,mobile,2024-03-08 20:00:00
288,session_7553,,page_view,/categoria,mobile,2024-03-29 03:00:00
289,session_9519,291,view_item,/checkout,mobile,2025-01-06 11:00:00
290,session_2197,,begin_checkout,/home,mobile,2024-11-21 14:00:00
291,session_1017,,page_view,/carrinho,mobile,2024-02-13 23:00:00
292,session_8552,,view_item,/categoria,desktop,2024-04-14 08:00:00
293,session_1002,,page_view,/carrinho,mobile,2024-05-13 09:00:00
294,session_5625,438,purchase,/home,mobile,2024-01-22 20:00:00
295,session_5383,,view_item,/home,desktop,2024-09-25 17:00:00
296,session_7685,221,add_to_cart,/home,desktop,2024-03-29 13:00:00
297,session_295,,view_item,/produto,desktop,2025-02-02 01:00:00
298,session_5842,474,add_to_cart,/carrinho,desktop,2024-05-15 20:00:00
299,session_7596,133,purchase,/home,mobile,2024-02-05 11:00:00
300,session_3328,349,page_view,/home,mobile,2024-01-25 21:00:00
301,session_8505,,purchase,/produto,desktop,2024-02-16 00:00:00
302,session_2285,467,page_view,/carrinho,desktop,2025-01-14 07:00:00
303,session_4135,,page_view,/checkout,mobile,2024-10-21 18:00:00
304,session_2088,95,view_item,/produto,mobile,2024-11-19 11:00:00
305,session_1131,,view_item,/carrinho,mobile,2024-11-21 08:00:00
306,session_7360,,view_item,/categoria,desktop,2024-07-05 10:00:00
307,session_5022,,add_to_cart,/home,mobile,2024-08-23 08:00:00
308,session_1541,341,page_view,/produto,mobile,2024-05-03 03:00:00
309,session_2153,121,page_view,/checkout,mobile,2024-02-10 04:00:00
310,session_4628,493,begin_checkout,/produto,mobile,2024-04-19 23:00:00
311,session_4883,51,page_view,/carrinho,mobile,2024-02-19 01:00:00
312,session_8085,108,page_view,/carrinho,desktop,2024-06-28 14:00:00
313,session_3633,8,begin_checkout,/produto,mobile,2024-02-15 18:00:00
314,session_9862,301,begin_checkout,/produto,mobile,2025-01-23 22:00:00
315,session_9618,113,view_item,/home,mobile,2024-07-25 22:00:00
316,session_5035,63,purchase,/categoria,desktop,2024-05-21 09:00:00
317,session_9421,237,page_view,/checkout,desktop,2024-05-13 13:00:00
318,session_2860,,view_item,/checkout,mobile,2024-10-26 13:00:00
319,session_4964,,begin_checkout,/home,mobile,2024-10-11 02:00:00
320,session_2214,65,add_to_cart,/carrinho,mobile,2024-06-22 00:00:00
321,session_6953,175,page_view,/checkout,mobile,2024-04-18 16:00:00
322,session_8505,346,add_to_cart,/home,mobile,2024-02-25 23:00:00
323,session_3732,474,page_view,/categoria,mobile,2024-08-19 09:00:00
324,session_3508,,page_view,/carrinho,mobile,2024-01-04 03:00:00
325,session_2670,,begin_checkout,/produto,mobile,2024-11-04 01:00:00
326,session_6716,227,purchase,/categoria,mobile,2024-09-17 04:00:00
327,session_7960,467,page_view,/checkout,desktop,2024-02-12 16:00:00
328,session_7270,109,begin_checkout,/home,mobile,2025-01-23 17:00:00
329,session_8537,187,page_view,/produto,desktop,2025-01-24 11:00:00
330,session_8729,,add_to_cart,/checkout,mobile,2024-03-16 15:00:00
331,session_7212,476,view_item,/checkout,mobile,2024-12-04 19:00:00
332,session_5439,,page_view,/produto,desktop,2024-07-29 03:00:00
333,session_511,427,page_view,/home,mobile,2024-05-17 13:00:00
334,session_1792,113,begin_checkout,/carrinho,mobile,2024-11-15 07:00:00
335,session_3557,,add_to_cart,/checkout,mobile,2024-02-16 20:00:00
336,session_8002,464,page_view,/categoria,tablet,2024-11-11 11:00:00
337,session_7169,,page_view,/checkout,desktop,2024-10-03 13:00:00
338,session_8672,,page_view,/checkout,mobile,2024-07-18 05:00:00
339,session_976,,add_to_cart,/checkout,mobile,2025-02-04 21:00:00
340,session_2908,231,page_view,/categoria,desktop,2024-10-22 10:00:00
341,session_8067,,view_item,/home,mobile,2024-03-17 17:00:00
342,session_5451,,add_to_cart,/checkout,mobile,2024-05-24 17:00:00
343,session_4239,,page_view,/checkout,desktop,2024-04-13 06:00:00
344,session_669,275,page_view,/produto,mobile,2024-07-09 07:00:00
345,session_3585,,add_to_cart,/checkout,mobile,2025-02-02 05:00:00
346,session_6456,357,page_view,/checkout,mobile,2024-06-04 11:00:00
347,session_9833,,page_view,/carrinho,desktop,2024-05-19 20:00:00
348,session_5592,,add_to_cart,/carrinho,desktop,2024-02-27 14:00:00
349,session_5369,201,add_to_cart,/produto,mobile,2024-05-03 04:00:00
350,session_5689,,page_view,/home,mobile,2024-06-06 10:00:00
351,session_3929,54,begin_checkout,/checkout,mobile,2024-03-05 01:00:00
352,session_216,161,page_view,/home,mobile,2024-04-27 13:00:00
353,session_8443,409,add_to_cart,/checkout,mobile,2024-07-20 01:00:00
354,session_188,,page_view,/home,tablet,2024-02-19 09:00:00
355,session_4858,191,add_to_cart,/categoria,desktop,2024-02-02 13:00:00
356,session_3817,,view_item,/checkout,desktop,2024-05-23 08:00:00
357,session_7376,503,begin_checkout,/carrinho,desktop,2024-10-02 06:00:00
358,session_9937,74,begin_checkout,/home,mobile,2024-04-13 21:00:00
359,session_1888,107,begin_checkout,/produto,mobile,2024-08-21 20:00:00
360,session_382,,page_view,/categoria,mobile,2024-01-09 12:00:00
361,session_6850,,add_to_cart,/carrinho,mobile,2024-07-24 18:00:00
362,session_5107,,purchase,/categoria,mobile,2024-10-22 07:00:00
363,session_1290,83,begin_checkout,/categoria,mobile,2024-01-29 07:00:00
364,session_8995,314,view_item,/home,mobile,2024-04-14 20:00:00
365,session_878,,purchase,/home,desktop,2024-12-08 09:00:00
366,session_2611,260,purchase,/checkout,mobile,2024-05-22 01:00:00
367,session_2925,267,page_view,/categoria,mobile,2024-04-15 08:00:00
368,session_539,,add_to_cart,/checkout,desktop,2024-03-20 20:00:00
369,session_2040,274,begin_checkout,/categoria,mobile,2025-02-01 17:00:00
370,session_5647,,add_to_cart,/categoria,tablet,2024-04-17 04:00:00
371,session_4509,318,page_view,/checkout,desktop,2024-03-25 19:00:00
372,session_6929,,begin_checkout,/carrinho,desktop,2024-03-19 01:00:00
373,session_2947,66,page_view,/checkout,desktop,2024-10-07 23:00:00
374,session_6574,,page_view,/produto,mobile,2024-01-11 00:00:00
375,session_8644,528,add_to_cart,/produto,mobile,2024-02-14 16:00:00
376,session_4817,490,page_view,/produto,mobile,2024-09-02 06:00:00
377,session_1807,,begin_checkout,/produto,desktop,2024-10-17 10:00:00
378,session_2738,268,add_to_cart,/carrinho,mobile,2024-11-08 07:00:00
379,session_1473,,begin_checkout,/produto,mobile,2025-01-28 18:00:00
380,session_1468,,add_to_cart,/carrinho,mobile,2024-02-11 14:00:00
381,session_2005,243,page_view,/carrinho,mobile,2024-02-13 09:00:00
382,session_7622,92,page_view,/checkout,mobile,2024-02-16 12:00:00
383,session_4472,,add_to_cart,/home,mobile,2024-06-18 16:00:00
384,session_929,245,purchase,/produto,desktop,2024-06-22 19:00:00
385,session_3054,,page_view,/home,desktop,2024-01-12 09:00:00
386,session_4119,419,page_view,/produto,desktop,2024-05-10 21:00:00
387,session_8944,,page_view,/home,mobile,2024-01-17 07:00:00
388,session_5291,484,view_item,/home,desktop,2025-01-19 19:00:00
389,session_8567,,begin_checkout,/carrinho,mobile,2024-12-03 03:00:00
390,session_4084,,begin_checkout,/produto,tablet,2024-12-13 18:00:00
391,session_6912,170,view_item,/produto,mobile,2024-01-17 15:00:00
392,session_9353,526,add_to_cart,/produto,mobile,2024-05-23 22:00:00
393,session_5398,,begin_checkout,/home,mobile,2024-05-25 11:00:00
394,session_7698,232,page_view,/checkout,desktop,2024-12-01 03:00:00
395,session_3978,,begin_checkout,/produto,mobile,2024-08-15 09:00:00
396,session_6741,414,page_view,/carrinho,mobile,2024-12-05 20:00:00
397,session_9093,1,purchase,/home,desktop,2024-08-18 02:00:00
