item_id,pedido_id,produto_id,quantidade,preco_unitario,subtotal
82,30,20,2,1210.66,2421.32
83,30,45,2,381.06,762.12
84,30,14,3,1455.01,4365.03
85,31,50,1,1902.02,1902.02
86,31,43,3,1285.88,3857.64
87,31,74,1,1566.92,1566.92
88,31,22,3,75.08,225.24
89,32,55,3,1409.4,4228.2
90,32,28,2,1964.38,3928.76
91,33,36,2,761.6,1523.2
92,34,61,2,140.49,280.98
93,34,74,2,1566.92,3133.84
94,34,16,3,474.01,1422.03
95,35,18,2,133.92,267.84
96,35,30,1,1655.41,1655.41
97,35,27,3,1499.37,4498.11
98,35,12,2,1752.2,3504.4
99,36,52,2,1144.03,2288.06
100,36,61,3,140.49,421.47
101,36,76,2,142.74,285.48
102,37,16,3,474.01,1422.03
103,37,11,1,822.48,822.48
104,37,14,2,1455.01,2910.02
105,38,30,2,1655.41,3310.82
106,39,74,3,1566.92,4700.76
107,39,29,1,443.29,443.29
108,39,46,3,1381.15,4143.45
109,40,66,1,977.28,977.28
110,40,49,3,1487.67,4463.01
111,40,55,2,1409.4,2818.8
112,40,58,2,1404.31,2808.62
113,41,13,1,1034.82,1034.82
114,42,26,2,1399.87,2799.74
115,42,19,1,988.5,988.5
116,42,27,2,1499.37,2998.74
117,43,10,2,793.62,1587.24
118,43,52,1,1144.03,1144.03
119,44,79,2,815.61,1631.22
120,45,38,1,1608.59,1608.59
121,45,41,3,619.8,1859.4
122,46,50,1,1902.02,1902.02
123,47,55,1,1409.4,1409.4
124,47,29,1,443.29,443.29
125,47,60,1,1571.59,1571.59
126,47,75,1,43.75,43.75
127,48,39,3,1540.08,4620.24
128,48,19,3,988.5,2965.5
129,48,31,3,1054.88,3164.64
130,48,70,1,1273.31,1273.31
131,49,65,3,939.51,2818.53
132,49,80,2,1847.47,3694.94
133,49,67,1,887.21,887.21
134,49,10,1,793.62,793.62
135,50,21,2,1216.13,2432.26
136,50,14,3,1455.01,4365.03
137,50,51,2,429.68,859.36
138,50,13,3,1034.82,3104.46
139,51,50,2,1902.02,3804.04
140,51,27,2,1499.37,2998.74
141,51,11,2,822.48,1644.96
142,51,9,1,387.1,387.1
143,52,57,3,1185.26,3555.78
144,52,28,3,1964.38,5893.14
145,52,40,3,1475.12,4425.36
146,52,59,2,1861.25,3722.5
147,53,2,3,457.8,1373.4
148,53,67,2,887.21,1774.42
149,53,54,3,355.53,1066.59
150,54,80,2,1847.47,3694.94
151,54,58,2,1404.31,2808.62
152,55,32,2,765.62,1531.24
153,55,38,1,1608.59,1608.59
154,55,56,3,1183.95,3551.85
155,55,61,3,140.49,421.47
156,56,45,2,381.06,762.12
157,56,43,3,1285.88,3857.64
158,56,22,2,75.08,150.16
159,57,72,2,1810.61,3621.22
160,57,5,3,33.6,100.8
161,58,24,2,1283.79,2567.58
162,58,5,2,33.6,67.2
163,58,33,1,270.98,270.98
164,59,79,2,815.61,1631.22
165,59,31,1,1054.88,1054.88
166,59,27,3,1499.37,4498.11
167,60,58,2,1404.31,2808.62
168,61,50,3,1902.02,5706.06
169,61,62,2,1709.77,3419.54
170,61,69,1,1420.76,1420.76
171,62,56,2,1183.95,2367.9
172,63,44,1,1007.35,1007.35
173,63,62,1,1709.77,1709.77
174,64,41,1,619.8,619.8
175,64,8,1,358.66,358.66
176,65,56,3,1183.95,3551.85
177,65,70,3,1273.31,3819.93
178,65,44,1,1007.35,1007.35
179,65,3,1,301.41,301.41
180,66,70,2,1273.31,2546.62
181,66,65,2,939.51,1879.02
182,67,43,2,1285.88,2571.76
183,67,45,2,381.06,762.12
184,68,3,3,301.41,904.23
185,68,17,2,1414.7,2829.4
186,68,62,2,1709.77,3419.54
187,69,43,3,1285.88,3857.64
188,69,53,3,1959.8,5879.4
189,69,5,3,33.6,100.8
190,70,60,1,1571.59,1571.59
191,70,26,3,1399.87,4199.61
192,70,18,1,133.92,133.92
193,71,29,1,443.29,443.29
194,72,15,1,235.05,235.05
195,72,25,3,323.43,970.29
196,73,55,2,1409.4,2818.8
197,73,7,2,87.17,174.34
198,74,48,2,1501.92,3003.84
199,74,8,2,358.66,717.32
200,74,19,3,988.5,2965.5
201,74,26,3,1399.87,4199.61
202,75,67,1,887.21,887.21
203,75,19,1,988.5,988.5
204,75,79,3,815.61,2446.83
205,75,41,3,619.8,1859.4
206,76,4,3,1336.09,4008.27
207,76,71,2,128.09,256.18
208,76,49,3,1487.67,4463.01
209,76,69,3,1420.76,4262.28
210,77,37,2,153.11,306.22
211,77,7,3,87.17,261.51
212,78,67,3,887.21,2661.63
213,79,70,3,1273.31,3819.93
214,79,21,1,1216.13,1216.13
215,79,67,3,887.21,2661.63
216,80,61,1,140.49,140.49
217,80,30,1,1655.41,1655.41
218,81,73,2,1821.4,3642.8
219,81,40,2,1475.12,2950.24
220,81,33,2,270.98,541.96
221,81,6,3,381.29,1143.87
222,82,76,3,142.74,428.22
223,83,62,3,1709.77,5129.31
224,83,16,1,474.01,474.01
225,83,52,2,1144.03,2288.06
226,84,24,2,1283.79,2567.58
227,84,79,1,815.61,815.61
228,84,25,3,323.43,970.29
229,85,24,2,1283.79,2567.58
230,85,6,1,381.29,381.29
231,86,9,2,387.1,774.2
232,87,47,1,1982.42,1982.42
233,88,44,1,1007.35,1007.35
234,88,12,2,1752.2,3504.4
235,89,21,1,1216.13,1216.13
236,90,41,3,619.8,1859.4
237,90,24,2,1283.79,2567.58
238,90,59,3,1861.25,5583.75
239,90,57,1,1185.26,1185.26
240,91,45,2,381.06,762.12
241,91,13,3,1034.82,3104.46
242,91,64,2,772.42,1544.84
243,92,21,2,1216.13,2432.26
244,93,44,1,1007.35,1007.35
245,93,74,1,1566.92,1566.92
246,94,29,2,443.29,886.58
247,95,65,3,939.51,2818.53
248,96,17,2,1414.7,2829.4
249,96,46,2,1381.15,2762.3
250,97,2,3,457.8,1373.4
251,97,38,2,1608.59,3217.18
252,98,7,1,87.17,87.17
253,98,55,2,1409.4,2818.8
254,98,43,2,1285.88,2571.76
255,99,39,3,1540.08,4620.24
256,99,74,3,1566.92,4700.76
257,100,14,3,1455.01,4365.03
258,101,78,3,288.66,865.98
259,101,1,2,1567.29,3134.58
260,101,36,1,761.6,761.6
261,102,23,1,664.45,664.45
262,102,34,1,1478.85,1478.85
263,103,11,1,822.48,822.48
264,104,24,2,1283.79,2567.58
265,104,55,1,1409.4,1409.4
266,104,52,3,1144.03,3432.09
267,104,32,1,765.62,765.62
268,105,38,2,1608.59,3217.18
269,106,58,2,1404.31,2808.62
270,107,12,2,1752.2,3504.4
271,107,71,3,128.09,384.27
272,107,32,2,765.62,1531.24
273,107,18,1,133.92,133.92
274,108,79,1,815.61,815.61
275,108,75,1,43.75,43.75
276,108,14,2,1455.01,2910.02
277,109,14,2,1455.01,2910.02
278,109,27,1,1499.37,1499.37
279,109,60,3,1571.59,4714.77
280,110,6,2,381.29,762.58
281,110,35,2,494.54,989.08
282,111,1,2,1567.29,3134.58
283,111,14,2,1455.01,2910.02
284,112,56,2,1183.95,2367.9
285,112,34,3,1478.85,4436.55
286,112,5,2,33.6,67.2
287,112,6,1,381.29,381.29
288,113,12,2,1752.2,3504.4
289,114,21,3,1216.13,3648.39
290,115,23,3,664.45,1993.35
291,115,6,3,381.29,1143.87
292,115,31,3,1054.88,3164.64
293,115,27,1,1499.37,1499.37
294,116,21,3,1216.13,3648.39
295,116,20,1,1210.66,1210.66
296,117,31,1,1054.88,1054.88
297,117,34,1,1478.85,1478.85
298,117,12,3,1752.2,5256.6
299,118,53,3,1959.8,5879.4
300,118,6,3,381.29,1143.87
301,118,63,2,474.22,948.44
302,118,24,3,1283.79,3851.37
303,119,43,3,1285.88,3857.64
304,119,11,3,822.48,2467.44
305,119,57,1,1185.26,1185.26
306,119,68,2,1876.49,3752.98
307,120,69,3,1420.76,4262.28
308,121,61,2,140.49,280.98
309,121,1,3,1567.29,4701.87
310,121,9,2,387.1,774.2
311,121,79,3,815.61,2446.83
312,122,8,3,358.66,1075.98
313,123,76,2,142.74,285.48
314,123,35,2,494.54,989.08
315,123,75,2,43.75,87.5
316,123,39,2,1540.08,3080.16
317,124,20,2,1210.66,2421.32
318,124,64,1,772.42,772.42
319,124,54,2,355.53,711.06
320,124,51,1,429.68,429.68
321,125,6,1,381.29,381.29
322,125,24,2,1283.79,2567.58
323,125,54,2,355.53,711.06
324,125,15,2,235.05,470.1
325,126,22,3,75.08,225.24
326,126,4,3,1336.09,4008.27
327,126,64,3,772.42,2317.26
328,126,62,2,1709.77,3419.54
329,127,1,3,1567.29,4701.87
330,127,2,1,457.8,457.8
331,127,49,2,1487.67,2975.34
332,127,57,3,1185.26,3555.78
333,128,59,1,1861.25,1861.25
334,128,30,2,1655.41,3310.82
335,129,17,2,1414.7,2829.4
336,129,64,2,772.42,1544.84
337,129,63,1,474.22,474.22
338,129,62,2,1709.77,3419.54
339,130,2,1,457.8,457.8
340,130,34,1,1478.85,1478.85
341,130,57,1,1185.26,1185.26
342,130,37,3,153.11,459.33
343,131,75,3,43.75,131.25
344,131,4,3,1336.09,4008.27
345,131,38,1,1608.59,1608.59
346,131,13,2,1034.82,2069.64
347,132,36,3,761.6,2284.8
348,133,32,2,765.62,1531.24
349,133,57,2,1185.26,2370.52
350,133,22,3,75.08,225.24
351,134,28,1,1964.38,1964.38
352,134,59,1,1861.25,1861.25
353,134,49,2,1487.67,2975.34
354,134,41,3,619.8,1859.4
355,135,42,3,371.66,1114.98
356,135,5,3,33.6,100.8
357,135,43,3,1285.88,3857.64
358,135,70,2,1273.31,2546.62
359,136,49,1,1487.67,1487.67
360,136,48,3,1501.92,4505.76
361,136,70,2,1273.31,2546.62
362,136,64,3,772.42,2317.26
363,137,79,2,815.61,1631.22
364,137,44,2,1007.35,2014.7
365,137,3,2,301.41,602.82
366,138,4,3,1336.09,4008.27
367,138,34,2,1478.85,2957.7
368,138,55,3,1409.4,4228.2
369,139,45,1,381.06,381.06
370,139,13,3,1034.82,3104.46
371,139,1,2,1567.29,3134.58
372,140,68,3,1876.49,5629.47
373,141,28,1,1964.38,1964.38
374,141,5,3,33.6,100.8
375,141,69,3,1420.76,4262.28
376,142,35,1,494.54,494.54
377,142,29,2,443.29,886.58
378,143,48,2,1501.92,3003.84
379,143,3,1,301.41,301.41
380,143,57,2,1185.26,2370.52
381,143,40,3,1475.12,4425.36
382,144,6,2,381.29,762.58
383,144,45,1,381.06,381.06
384,144,61,3,140.49,421.47
385,144,41,1,619.8,619.8
386,145,70,1,1273.31,1273.31
387,145,57,1,1185.26,1185.26
388,146,51,1,429.68,429.68
389,146,72,2,1810.61,3621.22
390,146,3,1,301.41,301.41
391,147,74,1,1566.92,1566.92
392,147,17,2,1414.7,2829.4
393,148,23,2,664.45,1328.9
394,148,60,2,1571.59,3143.18
395,148,43,2,1285.88,2571.76
396,148,75,1,43.75,43.75
397,149,63,1,474.22,474.22
398,149,26,3,1399.87,4199.61
399,149,43,1,1285.88,1285.88
400,149,52,1,1144.03,1144.03
401,150,17,1,1414.7,1414.7
402,150,23,2,664.45,1328.9
403,150,51,3,429.68,1289.04
404,150,10,2,793.62,1587.24
405,151,70,1,1273.31,1273.31
406,151,74,3,1566.92,4700.76
407,151,3,3,301.41,904.23
408,152,67,3,887.21,2661.63
409,152,55,3,1409.4,4228.2
410,153,10,3,793.62,2380.86
411,153,42,1,371.66,371.66
412,153,1,2,1567.29,3134.58
413,154,58,1,1404.31,1404.31
414,154,71,3,128.09,384.27
415,154,51,1,429.68,429.68
416,155,33,2,270.98,541.96
417,155,42,3,371.66,1114.98
418,155,10,1,793.62,793.62
419,156,69,2,1420.76,2841.52
420,156,10,3,793.62,2380.86
421,156,67,3,887.21,2661.63
422,157,66,2,977.28,1954.56
423,157,27,1,1499.37,1499.37
424,157,25,1,323.43,323.43
425,158,29,1,443.29,443.29
426,158,17,1,1414.7,1414.7
427,158,8,2,358.66,717.32
428,158,31,3,1054.88,3164.64
429,159,39,1,1540.08,1540.08
430,159,10,3,793.62,2380.86
431,159,18,1,133.92,133.92
432,159,28,1,1964.38,1964.38
433,160,34,1,1478.85,1478.85
434,160,19,1,988.5,988.5
435,161,61,3,140.49,421.47
436,161,12,2,1752.2,3504.4
437,162,24,2,1283.79,2567.58
438,163,48,2,1501.92,3003.84
439,163,74,3,1566.92,4700.76
440,163,69,3,1420.76,4262.28
441,163,52,2,1144.03,2288.06
442,164,49,1,1487.67,1487.67
443,165,79,1,815.61,815.61
444,165,67,3,887.21,2661.63
445,165,47,2,1982.42,3964.84
446,166,56,1,1183.95,1183.95
447,166,57,1,1185.26,1185.26
448,166,30,3,1655.41,4966.23
449,166,63,2,474.22,948.44
450,167,51,2,429.68,859.36
451,167,60,2,1571.59,3143.18
452,167,63,3,474.22,1422.66
453,167,45,3,381.06,1143.18
454,168,57,3,1185.26,3555.78
455,168,12,1,1752.2,1752.2
456,168,45,3,381.06,1143.18
457,169,78,1,288.66,288.66
458,170,38,2,1608.59,3217.18
459,171,45,2,381.06,762.12
460,171,16,1,474.01,474.01
461,171,80,2,1847.47,3694.94
462,172,43,2,1285.88,2571.76
463,172,40,3,1475.12,4425.36
464,172,74,1,1566.92,1566.92
465,173,65,2,939.51,1879.02
466,173,7,2,87.17,174.34
467,174,29,1,443.29,443.29
468,174,63,2,474.22,948.44
469,174,7,1,87.17,87.17
470,174,2,2,457.8,915.6
471,175,62,2,1709.77,3419.54
472,175,4,3,1336.09,4008.27
473,176,58,3,1404.31,4212.93
474,176,50,3,1902.02,5706.06
475,176,76,3,142.74,428.22
476,176,49,1,1487.67,1487.67
477,177,6,3,381.29,1143.87
478,177,58,1,1404.31,1404.31
479,177,68,2,1876.49,3752.98
480,177,4,1,1336.09,1336.09
481,178,51,2,429.68,859.36
482,178,14,1,1455.01,1455.01
483,179,56,1,1183.95,1183.95
484,179,62,1,1709.77,1709.77
485,180,22,3,75.08,225.24
486,180,77,3,473.59,1420.77
487,180,4,2,1336.09,2672.18
488,180,48,2,1501.92,3003.84
489,181,19,3,988.5,2965.5
490,181,51,1,429.68,429.68
491,181,6,2,381.29,762.58
492,181,73,1,1821.4,1821.4
493,182,34,1,1478.85,1478.85
494,182,2,2,457.8,915.6
495,182,22,3,75.08,225.24
496,183,36,2,761.6,1523.2
497,183,55,3,1409.4,4228.2
498,183,71,3,128.09,384.27
499,183,50,1,1902.02,1902.02
500,184,19,1,988.5,988.5
501,184,5,2,33.6,67.2
502,185,37,2,153.11,306.22
503,186,32,1,765.62,765.62
504,186,39,2,1540.08,3080.16
505,186,69,3,1420.76,4262.28
506,186,78,3,288.66,865.98
507,187,45,3,381.06,1143.18
508,187,61,3,140.49,421.47
509,187,1,3,1567.29,4701.87
510,188,60,1,1571.59,1571.59
511,189,63,1,474.22,474.22
512,189,22,2,75.08,150.16
513,189,39,3,1540.08,4620.24
514,189,7,1,87.17,87.17
515,190,77,3,473.59,1420.77
516,190,46,2,1381.15,2762.3
517,190,13,3,1034.82,3104.46
518,190,28,3,1964.38,5893.14
519,191,31,1,1054.88,1054.88
520,191,57,1,1185.26,1185.26
521,191,10,1,793.62,793.62
522,191,45,3,381.06,1143.18
523,192,32,3,765.62,2296.86
524,192,69,3,1420.76,4262.28
525,192,30,3,1655.41,4966.23
526,193,17,1,1414.7,1414.7
527,194,71,3,128.09,384.27
528,194,7,1,87.17,87.17
529,195,11,1,822.48,822.48
530,195,59,2,1861.25,3722.5
531,196,73,2,1821.4,3642.8
532,196,71,1,128.09,128.09
533,197,52,1,1144.03,1144.03
534,197,77,3,473.59,1420.77
535,197,40,1,1475.12,1475.12
536,197,14,2,1455.01,2910.02
537,198,53,2,1959.8,3919.6
538,198,20,3,1210.66,3631.98
539,199,72,3,1810.61,5431.83
540,199,1,3,1567.29,4701.87
541,199,55,1,1409.4,1409.4
542,200,9,1,387.1,387.1
543,200,2,3,457.8,1373.4
544,200,14,1,1455.01,1455.01
545,201,19,2,988.5,1977.0
546,201,39,3,1540.08,4620.24
547,202,51,2,429.68,859.36
548,202,35,2,494.54,989.08
549,202,48,1,1501.92,1501.92
550,202,4,1,1336.09,1336.09
551,203,79,1,815.61,815.61
552,203,60,1,1571.59,1571.59
553,203,19,3,988.5,2965.5
554,203,20,1,1210.66,1210.66
555,204,63,3,474.22,1422.66
556,204,28,2,1964.38,3928.76
557,204,77,3,473.59,1420.77
558,205,7,3,87.17,261.51
559,206,60,2,1571.59,3143.18
560,206,19,3,988.5,2965.5
561,207,19,2,988.5,1977.0
562,208,51,3,429.68,1289.04
563,208,66,2,977.28,1954.56
564,208,24,3,1283.79,3851.37
565,208,41,3,619.8,1859.4
566,209,57,3,1185.26,3555.78
567,210,42,2,371.66,743.32
568,210,15,1,235.05,235.05
569,210,56,3,1183.95,3551.85
570,210,48,1,1501.92,1501.92
571,211,79,1,815.61,815.61
572,212,39,1,1540.08,1540.08
573,213,61,1,140.49,140.49
574,213,20,2,1210.66,2421.32
575,214,74,1,1566.92,1566.92
576,214,43,3,1285.88,3857.64
577,214,12,1,1752.2,1752.2
578,215,50,3,1902.02,5706.06
579,215,65,2,939.51,1879.02
580,216,80,1,1847.47,1847.47
581,217,50,1,1902.02,1902.02
582,217,45,3,381.06,1143.18
583,217,24,2,1283.79,2567.58
584,217,21,1,1216.13,1216.13
585,218,41,3,619.8,1859.4
586,218,56,1,1183.95,1183.95
587,219,72,1,1810.61,1810.61
588,219,49,3,1487.67,4463.01
589,219,41,3,619.8,1859.4
590,219,60,3,1571.59,4714.77
591,220,58,2,1404.31,2808.62
592,220,72,2,1810.61,3621.22
593,220,33,1,270.98,270.98
594,221,39,3,1540.08,4620.24
595,221,26,1,1399.87,1399.87
596,221,34,3,1478.85,4436.55
597,221,80,2,1847.47,3694.94
598,222,20,1,1210.66,1210.66
599,222,75,2,43.75,87.5
600,222,12,2,1752.2,3504.4
601,223,40,2,1475.12,2950.24
602,223,72,1,1810.61,1810.61
603,223,14,2,1455.01,2910.02
604,224,48,3,1501.92,4505.76
605,225,2,3,457.8,1373.4
606,226,33,1,270.98,270.98
607,226,68,2,1876.49,3752.98
608,226,47,2,1982.42,3964.84
609,226,25,2,323.43,646.86
610,227,45,1,381.06,381.06
611,227,37,1,153.11,153.11
612,227,3,3,301.41,904.23
613,227,62,3,1709.77,5129.31
614,228,29,2,443.29,886.58
615,229,59,3,1861.25,5583.75
616,229,67,1,887.21,887.21
617,229,46,1,1381.15,1381.15
618,229,3,3,301.41,904.23
619,230,25,3,323.43,970.29
620,230,13,2,1034.82,2069.64
621,231,2,3,457.8,1373.4
622,232,55,3,1409.4,4228.2
623,232,8,2,358.66,717.32
624,233,72,2,1810.61,3621.22
625,233,45,3,381.06,1143.18
626,233,66,1,977.28,977.28
627,234,59,3,1861.25,5583.75
628,235,4,3,1336.09,4008.27
629,235,2,1,457.8,457.8
630,235,10,3,793.62,2380.86
631,235,47,2,1982.42,3964.84
632,236,38,3,1608.59,4825.77
633,237,59,3,1861.25,5583.75
634,237,79,3,815.61,2446.83
635,237,69,1,1420.76,1420.76
636,237,21,2,1216.13,2432.26
637,238,55,2,1409.4,2818.8
638,238,67,3,887.21,2661.63
639,238,12,1,1752.2,1752.2
640,238,53,3,1959.8,5879.4
641,239,21,2,1216.13,2432.26
642,239,71,2,128.09,256.18
643,239,26,3,1399.87,4199.61
644,239,76,2,142.74,285.48
645,240,4,1,1336.09,1336.09
646,240,51,3,429.68,1289.04
647,241,52,3,1144.03,3432.09
648,241,3,2,301.41,602.82
649,242,22,3,75.08,225.24
650,243,68,3,1876.49,5629.47
651,243,22,3,75.08,225.24
652,244,12,1,1752.2,1752.2
653,244,36,2,761.6,1523.2
654,245,71,2,128.09,256.18
655,245,7,2,87.17,174.34
656,246,31,3,1054.88,3164.64
657,246,72,3,1810.61,5431.83
658,246,38,1,1608.59,1608.59
659,247,23,3,664.45,1993.35
660,247,61,1,140.49,140.49
661,247,27,1,1499.37,1499.37
662,248,60,2,1571.59,3143.18
663,248,74,3,1566.92,4700.76
664,249,4,3,1336.09,4008.27
665,249,64,2,772.42,1544.84
666,250,8,2,358.66,717.32
667,250,16,2,474.01,948.02
668,251,44,2,1007.35,2014.7
669,251,52,2,1144.03,2288.06
670,252,25,1,323.43,323.43
671,252,10,3,793.62,2380.86
672,252,13,3,1034.82,3104.46
673,253,13,2,1034.82,2069.64
674,254,59,1,1861.25,1861.25
675,255,64,1,772.42,772.42
676,255,12,2,1752.2,3504.4
677,255,15,1,235.05,235.05
678,256,59,2,1861.25,3722.5
679,257,49,2,1487.67,2975.34
680,258,13,2,1034.82,2069.64
681,259,24,3,1283.79,3851.37
682,260,20,1,1210.66,1210.66
683,261,49,1,1487.67,1487.67
684,262,35,2,494.54,989.08
685,262,18,3,133.92,401.76
686,262,28,1,1964.38,1964.38
687,262,36,3,761.6,2284.8
688,263,67,1,887.21,887.21
689,263,79,3,815.61,2446.83
690,263,36,2,761.6,1523.2
691,264,1,3,1567.29,4701.87
692,264,5,1,33.6,33.6
693,265,13,2,1034.82,2069.64
694,265,40,3,1475.12,4425.36
695,265,6,3,381.29,1143.87
696,266,43,1,1285.88,1285.88
697,266,28,2,1964.38,3928.76
698,266,48,2,1501.92,3003.84
699,267,53,1,1959.8,1959.8
700,267,38,1,1608.59,1608.59
701,268,9,3,387.1,1161.3
702,268,10,2,793.62,1587.24
703,268,67,3,887.21,2661.63
704,269,44,1,1007.35,1007.35
705,269,72,3,1810.61,5431.83
706,269,19,2,988.5,1977.0
707,270,10,2,793.62,1587.24
708,271,62,1,1709.77,1709.77
709,271,21,2,1216.13,2432.26
710,272,21,3,1216.13,3648.39
711,273,46,2,1381.15,2762.3
712,273,76,1,142.74,142.74
713,273,39,1,1540.08,1540.08
714,273,51,3,429.68,1289.04
715,274,6,1,381.29,381.29
716,274,47,2,1982.42,3964.84
717,275,30,2,1655.41,3310.82
718,275,70,2,1273.31,2546.62
719,275,8,2,358.66,717.32
720,276,3,2,301.41,602.82
721,276,18,2,133.92,267.84
722,277,76,1,142.74,142.74
723,277,75,2,43.75,87.5
724,277,41,2,619.8,1239.6
725,278,53,2,1959.8,3919.6
726,278,25,1,323.43,323.43
727,278,5,2,33.6,67.2
728,278,71,3,128.09,384.27
729,279,31,2,1054.88,2109.76
730,279,14,1,1455.01,1455.01
731,279,42,2,371.66,743.32
732,279,70,1,1273.31,1273.31
733,280,11,1,822.48,822.48
734,280,50,2,1902.02,3804.04
735,280,2,3,457.8,1373.4
736,280,72,2,1810.61,3621.22
737,281,38,3,1608.59,4825.77
738,281,49,2,1487.67,2975.34
739,282,68,2,1876.49,3752.98
740,282,49,3,1487.67,4463.01
741,282,64,2,772.42,1544.84
742,283,79,2,815.61,1631.22
743,283,42,3,371.66,1114.98
744,283,5,3,33.6,100.8
745,283,53,2,1959.8,3919.6
746,284,59,1,1861.25,1861.25
747,284,57,2,1185.26,2370.52
748,284,45,2,381.06,762.12
749,284,37,3,153.11,459.33
750,285,43,3,1285.88,3857.64
751,285,80,1,1847.47,1847.47
752,285,59,1,1861.25,1861.25
753,285,23,1,664.45,664.45
754,286,29,3,443.29,1329.87
755,286,37,2,153.11,306.22
756,286,56,3,1183.95,3551.85
757,286,11,3,822.48,2467.44
758,287,76,3,142.74,428.22
759,288,55,3,1409.4,4228.2
760,289,45,2,381.06,762.12
761,289,66,2,977.28,1954.56
762,290,50,2,1902.02,3804.04
763,290,30,2,1655.41,3310.82
764,290,48,2,1501.92,3003.84
765,290,65,1,939.51,939.51
766,291,32,3,765.62,2296.86
767,291,43,3,1285.88,3857.64
768,292,8,3,358.66,1075.98
769,293,27,1,1499.37,1499.37
770,293,80,3,1847.47,5542.41
771,293,37,2,153.11,306.22
772,293,43,3,1285.88,3857.64
773,294,34,3,1478.85,4436.55
774,295,69,1,1420.76,1420.76
775,296,29,1,443.29,443.29
776,297,55,3,1409.4,4228.2
777,297,16,1,474.01,474.01
778,297,73,2,1821.4,3642.8
779,298,55,2,1409.4,2818.8
780,299,33,3,270.98,812.94
781,300,12,2,1752.2,3504.4
782,300,3,2,301.41,602.82
783,300,66,3,977.28,2931.84
784,301,69,2,1420.76,2841.52
785,302,6,2,381.29,762.58
786,302,45,2,381.06,762.12
787,303,15,3,235.05,705.15
788,304,54,3,355.53,1066.59
789,304,41,1,619.8,619.8
790,304,77,2,473.59,947.18
791,305,66,2,977.28,1954.56
792,305,80,1,1847.47,1847.47
793,306,69,1,1420.76,1420.76
794,307,33,2,270.98,541.96
795,307,76,2,142.74,285.48
796,307,74,3,1566.92,4700.76
797,308,68,2,1876.49,3752.98
798,308,66,2,977.28,1954.56
799,309,62,1,1709.77,1709.77
800,309,23,1,664.45,664.45
801,309,70,2,1273.31,2546.62
802,310,34,1,1478.85,1478.85
803,311,79,2,815.61,1631.22
804,311,23,3,664.45,1993.35
805,311,18,2,133.92,267.84
806,312,43,3,1285.88,3857.64
807,312,13,1,1034.82,1034.82
808,313,22,1,75.08,75.08
