pedido_id,cliente_id,data_pedido,canal_venda,status,valor_frete,desconto_aplicado
125,480,2024-12-20,Marketplace_A,Entregue,38.04,0.08
126,65,2024-05-14,Marketplace_A,Entregue,0.79,0.03
127,8,2023-11-28,Site,Entregue,27.89,0.14
128,301,2023-10-11,Marketplace_B,Em trânsito,18.97,0.23
129,343,2025-01-12,Loja Física,Cancelado,25.33,0.2
130,431,2023-12-03,Site,Entregue,28.14,0.16
131,424,2024-07-18,Marketplace_A,Entregue,15.67,0.08
132,332,2024-10-16,Marketplace_B,Entregue,14.76,0.14
133,438,2025-01-07,Site,Entregue,36.67,0.02
134,174,2023-09-21,Site,Em trânsito,43.56,0.17
135,527,2023-10-04,Marketplace_B,Em trânsito,9.63,0.18
136,26,2023-06-03,Loja Física,Entregue,4.88,0.24
137,406,2023-10-05,Loja Física,Entregue,44.89,0.07
138,232,2024-09-08,Marketplace_A,Entregue,17.49,0.0
139,505,2024-10-18,Marketplace_B,Entregue,27.57,0.14
140,179,2023-06-21,Marketplace_A,Entregue,17.98,0.18
141,132,2023-06-27,Marketplace_B,Processando,6.29,0.2
142,455,2023-07-09,Marketplace_A,Em trânsito,29.47,0.05
143,348,2024-06-01,Site,Entregue,26.26,0.07
144,406,2024-07-25,Marketplace_B,Entregue,10.15,0.13
145,76,2024-05-08,Marketplace_A,Devolvido,22.59,0.08
146,492,2024-10-01,Marketplace_A,Entregue,39.85,0.22
147,194,2023-06-27,WhatsApp,Entregue,29.52,0.12
148,162,2023-11-05,Site,Entregue,4.85,0.2
149,347,2024-02-20,Site,Cancelado,27.4,0.15
150,361,2024-03-15,Site,Entregue,35.14,0.19
151,87,2024-09-21,Loja Física,Entregue,39.64,0.08
152,262,2025-01-14,Marketplace_B,Cancelado,31.46,0.21
153,214,2024-08-02,Site,Devolvido,7.63,0.07
154,262,2023-08-23,Marketplace_B,Devolvido,35.51,0.14
155,283,2024-12-28,Marketplace_A,Entregue,33.87,0.05
156,467,2024-08-07,Loja Física,Entregue,1.22,0.12
157,380,2024-10-31,Marketplace_A,Em trânsito,20.59,0.08
158,362,2024-02-18,Marketplace_A,Em trânsito,16.65,0.07
159,449,2024-06-16,WhatsApp,Entregue,33.47,0.24
160,441,2024-07-18,Site,Entregue,10.81,0.04
161,93,2024-08-04,Site,Em trânsito,29.54,0.2
162,424,2024-12-31,Marketplace_A,Em trânsito,45.66,0.25
163,142,2024-12-29,WhatsApp,Entregue,39.89,0.0
164,291,2024-08-27,Marketplace_A,Entregue,46.07,0.17
165,432,2023-08-03,Site,Entregue,48.93,0.06
166,49,2024-10-03,Site,Entregue,0.53,0.01
167,302,2023-12-29,Marketplace_A,Entregue,31.14,0.1
168,190,2024-09-07,Site,Entregue,20.64,0.23
169,136,2024-04-10,Marketplace_B,Entregue,42.99,0.0
170,404,2024-05-29,WhatsApp,Entregue,12.59,0.15
171,341,2024-01-21,Marketplace_A,Entregue,49.05,0.13
172,318,2024-04-05,Marketplace_A,Cancelado,30.69,0.22
173,363,2024-12-15,Marketplace_A,Entregue,39.68,0.02
174,382,2023-07-01,Site,Entregue,4.28,0.17
175,233,2024-11-08,Loja Física,Cancelado,9.17,0.17
176,344,2024-05-23,Marketplace_A,Entregue,37.92,0.17
177,529,2024-01-04,Marketplace_A,Processando,1.1,0.24
178,183,2024-02-05,Marketplace_B,Cancelado,40.84,0.21
179,41,2024-05-16,Marketplace_A,Entregue,0.7,0.01
180,397,2024-11-24,Marketplace_B,Processando,32.86,0.12
181,494,2024-10-24,Site,Entregue,18.25,0.1
182,333,2024-02-03,Loja Física,Entregue,30.57,0.08
183,127,2023-08-08,WhatsApp,Entregue,34.8,0.11
184,1,2025-01-06,Marketplace_B,Entregue,17.12,0.1
185,168,2023-11-01,WhatsApp,Devolvido,5.4,0.11
186,19,2023-12-16,Site,Entregue,3.48,0.24
187,332,2024-12-02,Marketplace_A,Entregue,29.45,0.02
188,456,2024-03-05,Marketplace_B,Entregue,26.03,0.23
189,109,2024-04-13,Marketplace_A,Entregue,37.11,0.12
190,268,2023-08-27,Marketplace_A,Entregue,25.49,0.16
191,445,2024-08-23,Site,Entregue,21.12,0.21
192,240,2024-04-04,Site,Cancelado,19.9,0.09
193,301,2023-07-12,Marketplace_A,Entregue,1.32,0.11
194,103,2023-08-19,Site,Cancelado,16.78,0.1
195,250,2024-06-26,Marketplace_B,Entregue,48.8,0.09
196,453,2024-04-24,Site,Em trânsito,43.68,0.23
197,520,2023-06-17,Site,Em trânsito,16.47,0.21
198,153,2024-03-08,Marketplace_A,Entregue,29.39,0.03
199,174,2024-02-21,Marketplace_A,Entregue,42.36,0.03
200,343,2023-12-21,Loja Física,Cancelado,22.06,0.11
201,431,2023-10-07,Marketplace_A,Entregue,0.9,0.02
202,324,2023-09-03,Site,Processando,3.73,0.15
203,420,2023-12-16,Loja Física,Entregue,25.52,0.04
204,485,2024-06-16,Marketplace_A,Entregue,48.47,0.13
205,412,2023-10-15,Site,Entregue,34.66,0.0
206,84,2024-12-09,Marketplace_A,Processando,3.55,0.08
207,113,2024-08-10,WhatsApp,Entregue,9.47,0.17
208,332,2023-11-26,Marketplace_A,Cancelado,38.57,0.12
209,378,2024-12-25,Site,Devolvido,42.07,0.24
210,41,2024-07-27,Site,Entregue,30.88,0.22
211,105,2024-04-24,Site,Entregue,32.22,0.09
212,202,2024-09-10,Marketplace_A,Em trânsito,1.42,0.01
213,450,2024-10-03,Marketplace_A,Entregue,41.43,0.21
214,266,2024-10-03,Site,Em trânsito,39.41,0.23
215,210,2023-12-05,WhatsApp,Entregue,12.95,0.21
216,118,2023-10-13,Loja Física,Entregue,35.43,0.03
217,377,2024-03-03,Marketplace_A,Em trânsito,10.74,0.25
218,84,2023-07-21,Loja Física,Entregue,2.02,0.06
219,454,2024-12-16,Site,Entregue,10.06,0.18
220,514,2024-08-05,Marketplace_A,Entregue,8.93,0.23
221,387,2024-08-15,Marketplace_B,Entregue,16.89,0.06
222,350,2024-05-19,Loja Física,Entregue,20.92,0.23
223,296,2023-10-21,Loja Física,Cancelado,25.43,0.08
224,258,2024-08-25,Site,Entregue,23.84,0.24
225,81,2024-11-15,WhatsApp,Entregue,13.53,0.07
226,268,2024-11-06,Site,Entregue,1.46,0.24
227,419,2024-11-17,Loja Física,Entregue,30.26,0.01
228,235,2023-12-28,WhatsApp,Entregue,19.79,0.18
229,311,2023-08-02,Site,Processando,14.93,0.13
230,357,2024-05-02,Marketplace_B,Em trânsito,43.35,0.12
231,213,2024-08-19,Site,Entregue,37.34,0.06
232,49,2025-01-19,Marketplace_A,Entregue,42.89,0.18
233,127,2023-09-12,Marketplace_A,Entregue,24.75,0.05
234,223,2025-01-09,Marketplace_A,Entregue,6.55,0.14
235,279,2024-10-21,WhatsApp,Entregue,34.81,0.06
236,408,2024-02-28,Marketplace_B,Entregue,10.3,0.24
237,505,2024-04-20,Marketplace_A,Entregue,22.06,0.01
238,294,2024-01-24,Loja Física,Entregue,3.25,0.05
239,277,2023-08-11,WhatsApp,Entregue,41.27,0.06
240,438,2024-05-14,Site,Processando,6.3,0.1
241,107,2024-02-17,WhatsApp,Entregue,45.15,0.06
242,420,2023-06-07,Site,Entregue,43.21,0.12
243,429,2023-11-17,Loja Física,Entregue,23.23,0.22
244,375,2024-11-28,Site,Entregue,37.22,0.18
245,73,2024-09-15,Site,Em trânsito,30.97,0.14
246,30,2024-08-28,Marketplace_A,Entregue,40.15,0.02
247,188,2024-11-21,Marketplace_B,Entregue,21.59,0.17
248,364,2025-01-03,Marketplace_A,Entregue,39.29,0.04
249,451,2025-01-08,Site,Em trânsito,23.12,0.2
250,195,2024-04-02,Marketplace_A,Entregue,47.05,0.06
251,156,2024-07-09,WhatsApp,Entregue,24.32,0.1
252,172,2024-12-27,Marketplace_A,Entregue,23.13,0.09
253,41,2023-06-17,Site,Entregue,39.25,0.21
254,63,2024-07-15,Marketplace_A,Entregue,41.08,0.03
255,23,2024-06-14,Site,Entregue,27.72,0.14
256,360,2024-05-08,Loja Física,Entregue,8.99,0.04
257,75,2023-12-14,Loja Física,Cancelado,23.39,0.18
258,118,2024-05-15,Marketplace_A,Entregue,48.4,0.23
259,380,2024-06-23,Marketplace_A,Entregue,37.65,0.11
260,290,2024-03-31,Loja Física,Entregue,40.56,0.12
261,440,2024-04-27,Marketplace_A,Processando,1.64,0.23
262,7,2023-07-27,Loja Física,Entregue,23.39,0.13
263,196,2024-10-27,Marketplace_B,Em trânsito,32.33,0.12
264,421,2023-06-07,Loja Física,Entregue,41.5,0.14
265,193,2024-11-18,Marketplace_A,Entregue,2.46,0.17
266,148,2025-01-06,Marketplace_A,Entregue,42.62,0.03
267,202,2023-09-18,WhatsApp,Entregue,27.42,0.21
268,444,2025-01-15,Marketplace_A,Devolvido,9.87,0.11
269,419,2023-06-26,Marketplace_B,Processando,15.86,0.02
270,427,2024-05-29,Site,Entregue,14.1,0.2
271,479,2024-01-29,Marketplace_B,Entregue,26.54,0.09
272,475,2024-11-14,Marketplace_A,Processando,2.58,0.03
273,126,2024-09-16,Site,Entregue,7.93,0.16
274,395,2023-08-30,Site,Entregue,40.63,0.22
275,325,2024-08-03,Marketplace_B,Entregue,6.63,0.22
276,392,2024-10-04,Loja Física,Entregue,11.67,0.24
277,440,2023-07-11,Marketplace_A,Entregue,22.67,0.22
278,204,2023-09-10,Site,Entregue,25.86,0.0
279,486,2023-06-25,Marketplace_B,Entregue,38.18,0.1
280,31,2024-02-11,Site,Entregue,22.37,0.2
281,388,2024-12-20,Marketplace_A,Entregue,39.49,0.09
282,434,2024-12-03,Site,Entregue,30.92,0.15
283,376,2024-09-03,Site,Cancelado,5.65,0.15
284,344,2023-10-04,Site,Entregue,7.82,0.09
285,443,2023-09-26,Marketplace_A,Entregue,21.85,0.23
286,75,2023-06-14,Site,Processando,19.84,0.13
287,155,2024-09-21,Marketplace_A,Devolvido,37.18,0.12
288,430,2024-12-28,Marketplace_A,Entregue,29.04,0.25
289,363,2024-03-13,Marketplace_A,Entregue,19.41,0.12
290,448,2024-03-02,Marketplace_A,Em trânsito,8.54,0.04
291,234,2024-03-02,Loja Física,Cancelado,11.34,0.13
292,262,2023-11-08,Site,Processando,28.78,0.2
293,125,2024-02-29,Marketplace_A,Devolvido,21.17,0.19
294,245,2024-11-18,Site,Entregue,25.75,0.2
295,485,2024-12-07,Site,Entregue,8.53,0.18
296,122,2024-12-20,Marketplace_A,Entregue,33.15,0.06
297,125,2024-10-28,Marketplace_A,Entregue,42.63,0.22
298,170,2023-06-15,Loja Física,Entregue,12.9,0.22
299,124,2024-12-04,Marketplace_A,Entregue,24.58,0.05
300,35,2025-01-10,WhatsApp,Entregue,48.78,0.03
301,87,2024-10-24,Site,Em trânsito,16.66,0.24
302,201,2024-07-11,Site,Entregue,29.75,0.22
303,369,2024-10-24,Site,Entregue,4.51,0.22
304,77,2023-06-29,Site,Entregue,30.3,0.22
305,59,2023-10-26,Marketplace_A,Entregue,4.48,0.14
306,431,2024-10-18,Marketplace_B,Em trânsito,47.96,0.16
307,500,2024-12-09,Site,Entregue,35.78,0.14
308,109,2023-10-28,WhatsApp,Processando,39.41,0.01
309,278,2023-06-17,Loja Física,Entregue,35.21,0.19
310,68,2025-01-06,Site,Entregue,29.49,0.13
311,69,2024-10-05,Site,Entregue,22.5,0.16
312,165,2024-02-02,Site,Entregue,42.92,0.13
313,489,2024-07-04,Site,Cancelado,47.84,0.12
314,305,2025-01-17,Site,Entregue,24.95,0.04
315,365,2023-06-02,Marketplace_A,Devolvido,46.58,0.07
316,379,2024-11-16,Site,Entregue,29.17,0.04
317,343,2024-09-13,Marketplace_A,Cancelado,26.92,0.05
318,354,2024-12-07,WhatsApp,Entregue,22.72,0.24
319,416,2023-07-25,Marketplace_B,Devolvido,10.46,0.04
320,109,2024-01-30,WhatsApp,Entregue,0.19,0.07
321,497,2023-10-12,Site,Entregue,12.08,0.15
322,341,2024-07-12,Marketplace_A,Entregue,25.49,0.15
323,383,2024-02-19,Marketplace_A,Processando,19.0,0.04
324,300,2024-07-20,Site,Entregue,22.42,0.2
325,139,2023-06-05,Site,Entregue,49.03,0.2
326,359,2023-12-14,Marketplace_B,Cancelado,17.51,0.06
327,499,2024-06-30,Marketplace_B,Entregue,22.61,0.07
328,385,2024-10-24,Marketplace_A,Entregue,6.68,0.23
329,280,2023-11-16,Marketplace_A,Entregue,2.4,0.21
330,483,2023-08-22,Marketplace_A,Entregue,38.77,0.17
331,111,2023-11-28,Site,Devolvido,28.53,0.02
332,139,2023-10-12,Site,Em trânsito,38.04,0.1
333,435,2023-12-13,Site,Entregue,7.49,0.14
334,509,2024-04-26,Site,Processando,28.59,0.05
335,273,2024-10-26,WhatsApp,Entregue,12.68,0.11
336,99,2024-07-18,Marketplace_A,Entregue,11.4,0.15
337,104,2023-11-07,Marketplace_B,Entregue,0.58,0.08
338,214,2024-10-14,Site,Entregue,6.52,0.2
339,165,2023-08-26,Marketplace_A,Entregue,15.46,0.21
340,520,2023-09-28,Site,Processando,5.84,0.08
341,284,2024-06-23,Site,Em trânsito,49.29,0.21
342,517,2024-12-04,Site,Entregue,15.43,0.03
343,164,2024-03-02,Loja Física,Entregue,6.52,0.21
344,64,2023-10-16,Marketplace_B,Em trânsito,9.95,0.04
345,91,2023-12-28,Marketplace_A,Processando,29.39,0.02
346,117,2024-04-04,Marketplace_A,Devolvido,3.2,0.16
347,267,2023-07-30,WhatsApp,Entregue,43.12,0.12
348,140,2023-06-07,Site,Em trânsito,48.07,0.23
349,246,2023-08-15,Site,Entregue,12.34,0.09
350,395,2023-11-27,Site,Entregue,22.5,0.07
351,487,2023-08-03,Loja Física,Entregue,1.11,0.13
352,476,2023-06-14,WhatsApp,Entregue,32.04,0.11
353,517,2024-04-10,Site,Entregue,20.7,0.09
354,184,2024-11-25,Loja Física,Entregue,13.5,0.17
355,20,2024-09-18,Loja Física,Entregue,10.34,0.19
356,524,2023-12-02,Site,Em trânsito,32.7,0.21
357,529,2023-11-03,Marketplace_A,Entregue,20.81,0.24
358,147,2023-06-08,Marketplace_A,Entregue,8.98,0.07
359,304,2023-10-09,WhatsApp,Entregue,34.46,0.18
360,228,2024-12-02,Site,Processando,28.25,0.1
361,102,2024-02-01,Loja Física,Entregue,42.93,0.17
362,417,2024-06-02,Site,Entregue,5.87,0.12
363,216,2023-10-01,Marketplace_B,Entregue,39.28,0.25
364,407,2024-07-26,Marketplace_A,Cancelado,33.68,0.18
365,399,2024-12-15,Marketplace_A,Processando,5.75,0.24
366,499,2024-03-05,Loja Física,Entregue,34.74,0.21
367,465,2024-06-04,Loja Física,Entregue,22.08,0.23
368,82,2023-07-07,Loja Física,Devolvido,47.25,0.2
369,365,2023-11-29,Site,Entregue,7.08,0.11
370,163,2024-11-08,Marketplace_B,Entregue,32.14,0.06
371,48,2024-10-21,Site,Entregue,19.1,0.09
372,511,2024-08-15,Marketplace_A,Entregue,47.84,0.01
373,329,2023-07-20,Marketplace_A,Entregue,16.5,0.13
374,116,2024-12-04,Marketplace_A,Entregue,48.11,0.13
375,337,2025-01-05,Marketplace_A,Entregue,45.07,0.13
376,147,2024-08-28,WhatsApp,Processando,13.52,0.24
377,323,2024-10-10,Site,Entregue,40.18,0.23
378,443,2024-03-28,Marketplace_B,Cancelado,49.78,0.04
379,13,2023-10-24,Marketplace_A,Entregue,12.63,0.09
380,494,2023-08-23,Site,Entregue,21.84,0.11
381,287,2023-09-23,Site,Entregue,26.01,0.09
382,114,2024-10-01,WhatsApp,Processando,14.75,0.2
383,480,2024-01-27,Loja Física,Em trânsito,0.76,0.13
384,22,2024-10-11,WhatsApp,Entregue,11.01,0.14
385,349,2024-10-29,WhatsApp,Cancelado,14.1,0.21
386,320,2023-11-16,Site,Entregue,22.18,0.2
387,126,2024-03-03,Marketplace_A,Processando,8.56,0.03
388,277,2023-06-09,Marketplace_B,Em trânsito,43.66,0.18
389,204,2023-06-07,Marketplace_A,Devolvido,35.25,0.11
390,194,2024-02-25,Marketplace_A,Entregue,4.26,0.07
391,286,2024-01-17,Marketplace_A,Entregue,32.5,0.01
392,57,2024-04-22,Marketplace_A,Entregue,32.68,0.12
393,303,2024-04-25,Marketplace_A,Entregue,47.81,0.09
394,163,2023-06-03,Site,Entregue,0.15,0.06
395,19,2023-12-13,Marketplace_A,Entregue,12.4,0.17
396,370,2023-06-30,Marketplace_A,Entregue,46.39,0.19
397,264,2024-04-16,Marketplace_A,Entregue,46.61,0.06
398,113,2023-11-08,Site,Entregue,36.03,0.01
399,488,2024-08-28,Marketplace_B,Entregue,38.29,0.21
400,327,2025-01-06,Site,Processando,4.57,0.0
401,65,2024-09-29,Marketplace_A,Entregue,25.69,0.23
402,292,2024-01-06,Loja Física,Entregue,11.58,0.16
403,25,2024-11-30,Marketplace_A,Em trânsito,9.06,0.08
404,1,2023-09-11,Site,Entregue,40.52,0.06
405,141,2024-11-01,Marketplace_B,Entregue,6.75,0.0
406,188,2024-03-11,Marketplace_A,Entregue,23.43,0.06
407,128,2023-10-26,Loja Física,Entregue,46.93,0.03
408,201,2024-08-31,Marketplace_B,Processando,9.29,0.15
409,127,2024-03-04,Marketplace_B,Entregue,48.9,0.04
410,257,2024-04-21,Marketplace_A,Entregue,49.71,0.13
411,194,2024-04-02,Site,Entregue,27.78,0.15
412,104,2023-12-25,Site,Entregue,8.51,0.07
413,265,2024-04-07,Marketplace_A,Em trânsito,15.81,0.01
414,384,2023-06-08,Marketplace_A,Entregue,21.22,0.01
415,260,2024-01-30,Marketplace_A,Entregue,15.47,0.01
416,414,2023-12-20,Site,Entregue,14.03,0.18
417,358,2023-11-29,Site,Entregue,48.61,0.08
418,75,2023-07-24,Marketplace_A,Entregue,7.67,0.2
419,355,2024-04-01,Site,Cancelado,36.67,0.11
420,188,2023-08-10,Marketplace_B,Em trânsito,0.02,0.11
421,290,2024-02-27,Site,Devolvido,29.81,0.13
422,45,2023-06-01,Marketplace_A,Cancelado,45.8,0.18
423,83,2024-04-10,WhatsApp,Entregue,14.4,0.07
424,123,2023-07-27,Site,Entregue,9.28,0.03
425,358,2024-06-28,Marketplace_A,Em trânsito,32.58,0.14
426,528,2023-06-07,Site,Cancelado,35.63,0.08
427,66,2023-12-08,Marketplace_B,Em trânsito,34.4,0.11
428,375,2023-12-27,Marketplace_A,Entregue,15.97,0.16
429,162,2024-07-18,Marketplace_A,Entregue,12.61,0.12
430,380,2024-08-12,Marketplace_A,Cancelado,47.8,0.16
431,358,2024-11-15,Loja Física,Em trânsito,46.16,0.14
432,188,2025-01-08,Site,Processando,22.87,0.18
433,322,2024-02-10,Site,Entregue,42.31,0.18
434,450,2024-04-03,Loja Física,Entregue,22.62,0.13
435,474,2024-04-07,Marketplace_A,Entregue,21.22,0.17
436,13,2023-11-05,Loja Física,Em trânsito,7.84,0.22
437,184,2023-10-29,Marketplace_A,Entregue,21.32,0.11
438,111,2024-08-06,Loja Física,Entregue,26.87,0.1
439,508,2024-10-14,Marketplace_A,Processando,1.13,0.19
440,290,2023-10-13,Marketplace_B,Entregue,22.21,0.15
441,295,2024-07-09,WhatsApp,Cancelado,39.07,0.02
442,451,2024-05-04,Marketplace_A,Entregue,34.0,0.22
443,215,2023-09-04,Site,Cancelado,31.76,0.01
444,27,2024-06-08,Site,Entregue,45.48,0.19
445,231,2023-10-30,Site,Devolvido,0.9,0.19
446,321,2024-01-20,Site,Devolvido,27.85,0.24
447,233,2023-09-07,Site,Entregue,39.37,0.01
448,437,2024-11-23,Marketplace_A,Entregue,27.07,0.15
449,403,2024-12-05,Marketplace_A,Entregue,16.19,0.11
450,53,2023-07-31,Marketplace_A,Entregue,6.81,0.08
451,313,2023-06-27,Marketplace_B,Devolvido,44.38,0.02
452,281,2024-10-21,Site,Entregue,23.54,0.14
453,31,2023-08-06,Site,Entregue,43.91,0.12
454,337,2024-12-04,Site,Entregue,29.29,0.03
455,183,2024-03-04,Marketplace_A,Cancelado,33.71,0.15
456,23,2024-04-04,Site,Processando,40.21,0.18
457,446,2023-06-28,Site,Entregue,32.96,0.19
458,74,2024-05-16,Marketplace_A,Entregue,19.9,0.23
459,10,2024-01-24,Loja Física,Entregue,25.68,0.1
460,484,2024-08-20,Site,Entregue,40.15,0.24
461,456,2024-05-08,Marketplace_B,Entregue,18.68,0.22
